X,Y,OBJECTID,Asset_ID,Asset_Grou,Community,Address,Location,Short_ID,Asset_Clas,Asset_Cl00
130.884260030697789,-12.377892973724592,105,PlayEquip 119,Playground Equipment,Wagaman,"32 Amsterdam Cct, Wagaman",Amsterdam Park,Amsterdam Park,57,Playgrounds
130.842939530310957,-12.450941502585016,106,PlayEquip 120,Playground Equipment,Stuart Park,"12 Duke St, Stuart Park",Duke Street Park,Duke Street Park,57,Playgrounds
130.855078558826733,-12.375357404289062,107,PlayEquip 121,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.878404022634044,-12.387347017985762,108,PlayEquip 122,Playground Equipment,Moil,"28 Thornton Cres, Moil",Thornton Park,Thornton Park,57,Playgrounds
130.881759005372288,-12.385845006783097,109,PlayEquip 124,Playground Equipment,Moil,"11 Greenwood Cres, Moil",Greenwood Park,Greenwood Park,57,Playgrounds
130.881954005893476,-12.389999064337005,110,PlayEquip 126,Playground Equipment,Moil,"11 Budgen St, Moil",Moil Park,Moil Park,57,Playgrounds
130.882881006599746,-12.393338975469858,111,PlayEquip 127,Playground Equipment,Moil,"48 Byrne Cct, Moil",Byrne Park,Byrne Park,57,Playgrounds
130.896435024474471,-12.382155979248422,112,PlayEquip 128,Playground Equipment,Wulagi,"148 Vanderlin Drive, Wulagi",Wulagi Park,Wulagi Park,57,Playgrounds
130.89474536905243,-12.386866800388244,113,PlayEquip 129,Playground Equipment,Wulagi,"6 Grebe Cres, Wulagi",Grebe Park,Grebe Park,57,Playgrounds
130.902714363498006,-12.385826631556863,114,PlayEquip 130,Playground Equipment,Wulagi,"95 Wulagi Cres, Wulagi",Rosella Park,Rosella Park,57,Playgrounds
130.893957008706479,-12.4006779595981,115,PlayEquip 131,Playground Equipment,Marrara,"48 Carnoustie Crct, Marrara",Tomaris Park,Tomaris Park,57,Playgrounds
130.893028005696408,-12.360300037714717,116,PlayEquip 132,Playground Equipment,Muirhead,"3 Moore St, Muirhead",Juliet Shields Park,Juliet Shields Park,57,Playgrounds
130.895224011144222,-12.361956017520933,117,PlayEquip 133,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.895557970719892,-12.362103973080812,118,PlayEquip 134,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.830488028892063,-12.412813035778553,119,PlayEquip 135,Playground Equipment,East Point,"152 Alec Fong Lim Dr, East Point",Lake Alexander,Lake Alexander Surrounds,57,Playgrounds
130.856218590244083,-12.375715890303949,120,PlayEquip 136,Exercise Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.883792460407534,-12.3890192856891,121,PlayEquip 137,Playground Equipment,Moil,"15 Wilson Cres, Moil",Wilson Park,Wilson Park,57,Playgrounds
130.881577971489577,-12.392393991125726,122,PlayEquip 138,Playground Equipment,Moil,"21 Butters St, Moil",Butters Park,Butters Park,57,Playgrounds
130.879263984782483,-12.394164972984326,123,PlayEquip 139,Playground Equipment,Moil,"2 Linde St, Moil",Linde Park,Linde Park,57,Playgrounds
130.896913002512434,-12.385894045127831,124,PlayEquip 140,Playground Equipment,Wulagi,"67 Matthews Rd, Wulagi",Wulagi Greenbelt South,Wulagi Greenbelt South,57,Playgrounds
130.901104031387234,-12.391424963597316,125,PlayEquip 141,Playground Equipment,Malak,"13 Malak Cres, Malak",Malak Greenbelt,Malak Greenbelt,57,Playgrounds
130.895472980932539,-12.36185099277721,126,PlayEquip 142,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.858127964612777,-12.376162014211609,127,PlayEquip 143,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.857880962375106,-12.376163973611083,128,PlayEquip 144,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.858807030014503,-12.378503001774448,129,PlayEquip 145,Playground Equipment,Rapid Creek,"29 Clarke Cres, Rapid Creek",Clarke Crescent Park,Clarke Crescent Park,57,Playgrounds
130.857501015110586,-12.385035978605966,130,PlayEquip 146,Playground Equipment,Rapid Creek,"12 Valder Cres, Rapid Creek",Rapid Creek Park,Rapid Creek Park,57,Playgrounds
130.864091996595192,-12.390166004880303,131,PlayEquip 147,Playground Equipment,Millner,"6 Millner St, Millner",Stokes Park,Stokes Park,57,Playgrounds
130.860295969674581,-12.393962968612755,132,PlayEquip 148,Playground Equipment,Millner,"8 Tong Luck St, Millner",Wong Yung Park,Wong Yung Park,57,Playgrounds
130.856612467306661,-12.396297487200245,133,PlayEquip 149,Playground Equipment,Millner,"55 McMillans Rd, Millner",Bagot Oval,Bagot Oval,57,Playgrounds
130.859968033761447,-12.394027028173657,134,PlayEquip 150,Playground Equipment,Millner,"8 Tong Luck St, Millner",Wong Yung Park,Wong Yung Park,57,Playgrounds
130.860361484267457,-12.426496798577142,135,PlayEquip 151,Playground Equipment,The Narrows,"3 Shiers St, The Narrows",Dwyer Park,Dwyer Park,57,Playgrounds
130.860424974501626,-12.426734033705278,136,PlayEquip 152,Playground Equipment,The Narrows,"3 Shiers St, The Narrows",Dwyer Park,Dwyer Park,57,Playgrounds
130.841683987287354,-12.381071042864356,137,PlayEquip 153,Playground Equipment,Nightcliff,"3 Aralia St, Nightcliff",Sunset Park,Sunset Park,57,Playgrounds
130.888332004429913,-12.36961699654457,138,PlayEquip 155,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.88853598388792,-12.369601030696201,139,PlayEquip 156,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.888611025967066,-12.36950399667038,140,PlayEquip 157,Playground Equipment,Wanguri,"56 Lyons St, Wanguri",Wanguri Park,Wanguri Park,57,Playgrounds
130.890622008980529,-12.368437960070951,141,PlayEquip 158,Playground Equipment,Wanguri,"25 Kailis St, Wanguri",Kailis Park,Kailis Park,57,Playgrounds
130.885282009414766,-12.371219961795433,142,PlayEquip 159,Playground Equipment,Wanguri,"8 Strele Cres, Wanguri",Strele Park,Strele Park,57,Playgrounds
130.888941987788712,-12.371564982833009,143,PlayEquip 160,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
130.889006032653185,-12.371499021287846,144,PlayEquip 161,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
130.889102989317053,-12.371623959680791,145,PlayEquip 162,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
130.88702002492812,-12.375519012902256,146,PlayEquip 163,Playground Equipment,Wanguri,"6 Fong St, Wanguri",Fong Park,Fong Park,57,Playgrounds
130.884569008209866,-12.374460993897683,147,PlayEquip 164,Playground Equipment,Casuarina,"17 Gsell St, Casuarina",Casuarina Pool,Casuarina Pool Complex,57,Playgrounds
130.902928404088613,-12.380649159382866,148,PlayEquip 165,Playground Equipment,Leanyer,"172 Leanyer Dr, Leanyer",Killupa Park,Killupa Park,57,Playgrounds
130.89542598168353,-12.366532013272675,149,PlayEquip 169,Playground Equipment,Leanyer,"3  Armstrong St, Leanyer",Armstrong Park,Armstrong Park,57,Playgrounds
130.891032978258181,-12.36395501700208,150,PlayEquip 170,Playground Equipment,Lyons,"2 Dangoerra St, Lyons",Dangoerra Park,Dangoerra Park,57,Playgrounds
130.88993597178893,-12.360886959510669,151,PlayEquip 171,Playground Equipment,Lyons,"58 Matla Terrace, Lyons",Matla Park,Matla Park,57,Playgrounds
130.888214971762068,-12.359273994585045,152,PlayEquip 172,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.888041016639022,-12.358761006251358,153,PlayEquip 173,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.888108028657513,-12.358548989725312,154,PlayEquip 174,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.887252141790213,-12.352178899396451,155,PlayEquip 175,Playground Equipment,Lyons,"10 Bilingga St, Lyons",Bilingga Park,Bilingga Park,57,Playgrounds
130.872492969324043,-12.366097020527265,156,PlayEquip 176,Playground Equipment,Brinkin,"8 Airlie Crct, Brinkin",Airlie Park,Airlie Park,57,Playgrounds
130.8725930138487,-12.365965026251185,157,PlayEquip 177,Playground Equipment,Brinkin,"8 Airlie Crct, Brinkin",Airlie Park,Airlie Park,57,Playgrounds
130.888096890176286,-12.392107271880311,158,PlayEquip 178,Playground Equipment,Anula,"36 Yanyula Dr, Anula",Driffield Greenbelt,Driffield Greenbelt,57,Playgrounds
130.888030359462761,-12.392133941171968,159,PlayEquip 179,Playground Equipment,Anula,"36 Yanyula Dr, Anula",Driffield Greenbelt,Driffield Greenbelt,57,Playgrounds
